time, iteration, regSquaredError
2017-05-24 19:03:15,101,86779.2478498777
2017-05-24 19:04:09,102,86706.4526542003
2017-05-24 19:05:03,103,86635.8797416727
2017-05-24 19:05:57,104,86567.4435470832
2017-05-24 19:06:51,105,86501.0621931999
2017-05-24 19:07:45,106,86436.6573321834
2017-05-24 19:08:40,107,86374.1539919752
2017-05-24 19:09:34,108,86313.4804278627
2017-05-24 19:10:28,109,86254.5679793634
2017-05-24 19:11:25,110,86197.3509325191
2017-05-24 19:12:20,111,86141.7663876199
2017-05-24 19:13:13,112,86087.754132291
2017-05-24 19:14:06,113,86035.2565198952
2017-05-24 19:15:06,114,85984.218353127
2017-05-24 19:16:03,115,85934.5867726876
2017-05-24 19:17:00,116,85886.3111508721
2017-05-24 19:17:56,117,85839.3429899524
2017-05-24 19:18:49,118,85793.635825146
2017-05-24 19:19:42,119,85749.1451320324
2017-05-24 19:20:35,120,85705.8282382425
2017-05-24 19:21:28,121,85663.6442392461
2017-05-24 19:22:24,122,85622.5539180574
2017-05-24 19:23:21,123,85582.51966871
2017-05-24 19:24:21,124,85543.5054233195
2017-05-24 19:25:15,125,85505.4765825728
2017-05-24 19:26:10,126,85468.399949518
2017-05-24 19:27:04,127,85432.243666448
2017-05-24 19:27:57,128,85396.9771547847
2017-05-24 19:28:50,129,85362.5710577919
2017-05-24 19:29:48,130,85328.9971859982
2017-05-24 19:30:41,131,85296.228465179
2017-05-24 19:31:34,132,85264.2388868012
2017-05-24 19:32:27,133,85233.0034607933
2017-05-24 19:33:20,134,85202.4981705408
2017-05-24 19:34:13,135,85172.6999299718
2017-05-24 19:35:06,136,85143.586542675
2017-05-24 19:35:59,137,85115.1366629242
2017-05-24 19:36:52,138,85087.3297585133
2017-05-24 19:37:45,139,85060.1460753245
2017-05-24 19:38:38,140,85033.566603561
2017-05-24 19:39:31,141,85007.573045524
2017-05-24 19:40:24,142,84982.1477849238
2017-05-24 19:41:16,143,84957.273857569
2017-05-24 19:42:10,144,84932.9349234605
2017-05-24 19:43:03,145,84909.1152401268
2017-05-24 19:43:55,146,84885.7996372597
2017-05-24 19:44:48,147,84862.9734924493
2017-05-24 19:45:41,148,84840.6227080972
2017-05-24 19:46:34,149,84818.7336893744
2017-05-24 19:47:27,150,84797.2933231966
2017-05-24 19:48:20,151,84776.28895817
2017-05-24 19:49:13,152,84755.708385462
2017-05-24 19:50:06,153,84735.5398205608
2017-05-24 19:50:59,154,84715.7718858678
2017-05-24 19:51:51,155,84696.3935940796
2017-05-24 19:52:44,156,84677.3943323601
2017-05-24 19:53:37,157,84658.7638472141
2017-05-24 19:54:30,158,84640.4922300616
2017-05-24 19:55:23,159,84622.5699034716
2017-05-24 19:56:16,160,84604.987608025
2017-05-24 19:57:09,161,84587.7363897697
2017-05-24 19:58:02,162,84570.8075882445
2017-05-24 19:58:54,163,84554.1928250479
2017-05-24 19:59:47,164,84537.8839929205
2017-05-24 20:00:40,165,84521.8732453093
2017-05-24 20:01:33,166,84506.1529864075
2017-05-24 20:02:26,167,84490.7158616349
2017-05-24 20:03:19,168,84475.5547485274
2017-05-24 20:04:12,169,84460.6627480419
2017-05-24 20:05:05,170,84446.033176246
2017-05-24 20:05:58,171,84431.6595563343
2017-05-24 20:06:51,172,84417.5356110333
2017-05-24 20:07:44,173,84403.6552553076
2017-05-24 20:08:37,174,84390.0125893803
2017-05-24 20:09:30,175,84376.6018920533
2017-05-24 20:10:24,176,84363.4176142967
2017-05-24 20:11:17,177,84350.4543731366
2017-05-24 20:12:10,178,84337.7069457492
2017-05-24 20:13:03,179,84325.1702638469
2017-05-24 20:13:56,180,84312.8394082552
2017-05-24 20:14:49,181,84300.7096037403
2017-05-24 20:15:42,182,84288.7762140082
2017-05-24 20:16:35,183,84277.0347369544
2017-05-24 20:17:28,184,84265.4808000542
2017-05-24 20:18:21,185,84254.1101559609
2017-05-24 20:19:14,186,84242.9186782725
2017-05-24 20:20:07,187,84231.9023574569
2017-05-24 20:21:00,188,84221.0572969482
