time, iteration, regSquaredError
2017-05-24 16:43:57,1,702270.222621567
2017-05-24 16:44:40,2,223672.217208275
2017-05-24 16:45:23,3,153184.360956552
2017-05-24 16:46:07,4,133728.135687917
2017-05-24 16:46:50,5,125158.116262109
2017-05-24 16:47:33,6,120533.833060481
2017-05-24 16:48:16,7,117731.500219104
2017-05-24 16:48:58,8,115898.050363721
2017-05-24 16:49:41,9,114629.468301773
2017-05-24 16:50:24,10,113711.874931021
2017-05-24 16:51:07,11,113022.472637921
2017-05-24 16:51:50,12,112486.099830015
2017-05-24 16:52:33,13,112054.139394518
2017-05-24 16:53:15,14,111693.438947455
2017-05-24 16:53:58,15,111380.110739491
2017-05-24 16:54:41,16,111095.890412288
2017-05-24 16:55:24,17,110825.95034916
2017-05-24 16:56:07,18,110557.643488131
2017-05-24 16:56:50,19,110279.952971597
2017-05-24 16:57:32,20,109983.569320971
2017-05-24 16:58:15,21,109661.534072505
2017-05-24 16:58:58,22,109310.261030779
2017-05-24 16:59:42,23,108930.494382958
2017-05-24 17:00:25,24,108527.539914246
2017-05-24 17:01:08,25,108110.202034298
2017-05-24 17:01:51,26,107688.462883043
2017-05-24 17:02:34,27,107270.767113591
2017-05-24 17:03:17,28,106862.127701428
2017-05-24 17:03:59,29,106463.750512161
2017-05-24 17:04:42,30,106073.941268143
2017-05-24 17:05:25,31,105689.506755393
2017-05-24 17:06:08,32,105306.96353466
2017-05-24 17:06:51,33,104923.279296945
2017-05-24 17:07:33,34,104536.192567838
2017-05-24 17:08:16,35,104144.26617628
2017-05-24 17:08:59,36,103746.808708388
2017-05-24 17:09:43,37,103343.744765897
2017-05-24 17:10:26,38,102935.474750431
2017-05-24 17:11:09,39,102522.743357434
2017-05-24 17:11:53,40,102106.525502981
2017-05-24 17:12:36,41,101687.932843693
2017-05-24 17:13:19,42,101268.140830957
2017-05-24 17:14:02,43,100848.334562868
2017-05-24 17:14:45,44,100429.670952571
2017-05-24 17:15:28,45,100013.254303809
2017-05-24 17:16:11,46,99600.122017191
2017-05-24 17:16:54,47,99191.237025541
2017-05-24 17:17:37,48,98787.4839443881
2017-05-24 17:18:20,49,98389.666828474
2017-05-24 17:19:03,50,97998.5075399421
2017-05-24 17:19:46,51,97614.6446589747
2017-05-24 17:20:29,52,97238.6333542287
2017-05-24 17:21:14,53,96870.9466673854
2017-05-24 17:21:57,54,96511.9784155814
2017-05-24 17:22:40,55,96162.0475826205
2017-05-24 17:23:24,56,95821.4038092342
2017-05-24 17:24:06,57,95490.2334706035
2017-05-24 17:24:48,58,95168.6658415852
2017-05-24 17:25:30,59,94856.77895405
2017-05-24 17:26:13,60,94554.6048961369
2017-05-24 17:26:55,61,94262.1344491191
2017-05-24 17:27:37,62,93979.3210780587
2017-05-24 17:28:19,63,93706.0843748956
2017-05-24 17:29:01,64,93442.3130960128
2017-05-24 17:29:43,65,93187.8679450215
2017-05-24 17:30:25,66,92942.5842344996
2017-05-24 17:31:08,67,92706.2745274181
2017-05-24 17:31:50,68,92478.7313191533
2017-05-24 17:32:32,69,92259.7297817395
2017-05-24 17:33:14,70,92049.0305586856
2017-05-24 17:33:56,71,91846.3825743291
2017-05-24 17:34:38,72,91651.5258067283
2017-05-24 17:35:20,73,91464.1939679021
2017-05-24 17:36:02,74,91284.1170369524
2017-05-24 17:36:45,75,91111.0235995905
2017-05-24 17:37:27,76,90944.6429584624
2017-05-24 17:38:09,77,90784.7069911744
2017-05-24 17:38:52,78,90630.9517455443
2017-05-24 17:39:34,79,90483.1187725572
2017-05-24 17:40:16,80,90340.9562068673
2017-05-24 17:40:58,81,90204.2196116885
2017-05-24 17:41:40,82,90072.6726096385
2017-05-24 17:42:22,83,89946.0873238089
2017-05-24 17:43:05,84,89824.2446543739
2017-05-24 17:43:47,85,89706.9344156315
2017-05-24 17:44:29,86,89593.9553570815
2017-05-24 17:45:11,87,89485.1150902
2017-05-24 17:45:53,88,89380.2299402332
2017-05-24 17:46:35,89,89279.1247398894
2017-05-24 17:47:18,90,89181.6325794179
2017-05-24 17:48:00,91,89087.5945253099
2017-05-24 17:48:44,92,88996.8593176327
2017-05-24 17:49:26,93,88909.2830543603
2017-05-24 17:50:09,94,88824.7288693013
2017-05-24 17:50:51,95,88743.0666088663
2017-05-24 17:51:34,96,88664.1725117857
2017-05-24 17:52:17,97,88587.9288949372
2017-05-24 17:53:00,98,88514.2238475572
2017-05-24 17:53:42,99,88442.9509355344
2017-05-24 17:54:25,100,88374.0089169506
2017-05-24 17:55:08,101,88307.3014695364
2017-05-24 17:55:50,102,88242.7369305495
2017-05-24 17:56:33,103,88180.2280490855
2017-05-24 17:57:16,104,88119.6917508779
2017-05-24 17:57:59,105,88061.0489153079
2017-05-24 17:58:41,106,88004.2241643411
2017-05-24 17:59:24,107,87949.1456629905
2017-05-24 18:00:06,108,87895.7449308415
2017-05-24 18:00:49,109,87843.9566641605
2017-05-24 18:01:32,110,87793.7185681423
2017-05-24 18:02:13,111,87744.9711986442
2017-05-24 18:02:56,112,87697.6578130645
2017-05-24 18:03:37,113,87651.7242297616
2017-05-24 18:04:19,114,87607.1186955492
2017-05-24 18:05:01,115,87563.7917608084
2017-05-24 18:05:43,116,87521.6961617805
2017-05-24 18:06:26,117,87480.786709565
2017-05-24 18:07:09,118,87441.020185453
2017-05-24 18:07:55,119,87402.3552422277
2017-05-24 18:08:39,120,87364.7523109789
2017-05-24 18:09:23,121,87328.1735132145
2017-05-24 18:10:07,122,87292.5825778521
2017-05-24 18:10:53,123,87257.9447627818
2017-05-24 18:11:37,124,87224.2267808484
2017-05-24 18:12:19,125,87191.396729776
2017-05-24 18:13:02,126,87159.4240259916
2017-05-24 18:13:44,127,87128.2793419878
2017-05-24 18:14:27,128,87097.9345470457
2017-05-24 18:15:09,129,87068.3626511223
2017-05-24 18:15:52,130,87039.5377517166
2017-05-24 18:16:34,131,87011.4349835211
2017-05-24 18:17:17,132,86984.0304706905
2017-05-24 18:18:00,133,86957.301281615
2017-05-24 18:18:42,134,86931.2253859814
2017-05-24 18:19:24,135,86905.781614073
2017-05-24 18:20:07,136,86880.9496181116
2017-05-24 18:20:49,137,86856.709835562
2017-05-24 18:21:31,138,86833.0434542791
2017-05-24 18:22:13,139,86809.9323793879
2017-05-24 18:22:56,140,86787.3592018132
2017-05-24 18:23:38,141,86765.3071683646
2017-05-24 18:24:21,142,86743.7601532821
2017-05-24 18:25:06,143,86722.7026311443
2017-05-24 18:25:52,144,86702.1196511712
2017-05-24 18:26:36,145,86681.9968126493
